hannes@desktop ~/Dev/ID1019/src/environment (main) $ elixir main.exs 10000
Testing EnvList...
     n         add      lookup      remove
    16        0.06        0.07        0.14
    32        0.06        0.11        0.27
    64        0.10        0.21        0.54
   128        0.20        0.39        1.04
   256        0.35        0.75        2.06
   512        0.82        1.56        4.31
  1024        1.45        2.92        8.73
  2048        3.49        5.86       18.88
  4096        9.80       11.73       43.08
  8192       15.88       24.31      103.01
Testing EnvTree...
     n         add      lookup      remove
    16        0.04        0.03        0.04
    32        0.05        0.03        0.05
    64        0.06        0.04        0.06
   128        0.07        0.04        0.07
   256        0.08        0.05        0.09
   512        0.09        0.05        0.09
  1024        0.12        0.06        0.11
  2048        0.11        0.07        0.12
  4096        0.12        0.07        0.13
  8192        0.15        0.09        0.16
Testing Elixir Map...
     n         add      lookup      remove
    16        0.04        0.02        0.02
    32        0.04        0.02        0.03
    64        0.04        0.02        0.04
   128        0.05        0.02        0.04
   256        0.06        0.03        0.05
   512        0.08        0.03        0.05
  1024        0.06        0.03        0.06
  2048        0.07        0.03        0.06
  4096        0.08        0.03        0.06
  8192        0.09        0.03        0.09
